Name	Length	NumReads	NumReads	NumReads
BgISR7-00342	405	11	22	16
BgISR7-00343	441	180	332	200
BgISR7-00344	195	0	0.5	0
BgISR7-00345	4284	31	60	23
BgISR7-00346	3168	72	148	92
BgISR7-00347	48	0	0	0
BgISR7-00348	180	1	0	2
BgISR7-00349	1038	5	27	20
BgISR7-00350	2724	29	57	31
BgISR7-00351	5211	27	88	56
BgISR7-00352	1362	33	35	18
BgISR7-00353	315	450	942	671
BgISR7-00354	483	958	1756	1194
BgISR7-00355	1851	52	106	57
BgISR7-00356	243	1	5	2
BgISR7-00357	234	0	0	0
BgISR7-00358	1197	11	25	24
BgISR7-00359	1548	56	97	51
BgISR7-00360	285	11	34	15
BgISR7-00361	2103	44	91	50
BgISR7-00362	2220	507	890	703
BgISR7-00363	750	4	15	17
BgISR7-00364	951	17	8	8
BgISR7-00365	2634	19	27	14
BgISR7-00366	729	4	4	11
BgISR7-00367	1659	12	19	13
BgISR7-00368	321	5	4	0
BgISR7-00369	591	3	3	4
BgISR7-00370	363	5	13	13
BgISR7-00371	3348	47	69	58
BgISR7-00372	468	0	5	0
BgISR7-00373	1041	64	103	77
BgISR7-00374	234	0	3	1
BgISR7-00375	627	1	0	0
BgISR7-00376	87	0	0	0
BgISR7-00377	1299	11	46	20
BgISR7-00378	1461	51	105	62
BgISR7-00379	1710	16	55	30
BgISR7-00380	1161	21	69	31
BgISR7-00381	30	0	0	0
BgISR7-00382	1749	33	58	46
BgISR7-00383	12	0	0	0
BgISR7-00384	900	60	102	78
BgISR7-00385	534	49	83	50
BgISR7-00386	978	18	47	35
BgISR7-00387	975	36	85	36
BgISR7-00388	180	113	194	123
BgISR7-00389	615	44	59	42
BgISR7-00390	861	3	17	6
BgISR7-00391	1797	1	1	4
BgISR7-00392	1386	33	68	38
BgISR7-00393	1170	15	28	19
BgISR7-00394	1383	22	72	50
BgISR7-00395	426	20	25	20
BgISR7-00396	489	6	17	6
BgISR7-00397	807	8	23	5
BgISR7-00398	558	9	25	33
BgISR7-00399	771	897	1644	1117
BgISR7-00400	2769	23	67	48
BgISR7-00401	1566	17	39	23
BgISR7-00402	1482	11	27	21
BgISR7-00403	4653	14.534	25.7269	20.7468
BgISR7-00404	432	148	351	204
BgISR7-00405	177	73	169	112
BgISR7-00406	1128	43	66	61
BgISR7-00407	2379	4	4	6
BgISR7-00408	1110	10	15	22
BgISR7-00409	816	4	29	12
BgISR7-00410	489	50	140	94
BgISR7-00411	1824	12	19	14
BgISR7-00412	453	17	48	40
BgISR7-00413	615	2	0	1
BgISR7-00414	1383	16	25	13
BgISR7-00415	414	37	97	66
BgISR7-00416	777	67	122	90
BgISR7-00417	2604	120	210	146
BgISR7-00418	1980	23	48	24
BgISR7-00419	192	82	163	118
BgISR7-00420	429	33	52	34
BgISR7-00421	1146	11	47	35
BgISR7-00422	2325	17	50	42
BgISR7-00423	402	5	4	3
BgISR7-00424	42	0	0	0
BgISR7-00425	1386	7	5	2
BgISR7-00426	570	4	1	1
BgISR7-00427	498	1	0	0
BgISR7-00428	936	28	41	24
BgISR7-00429	792	49	118	64
BgISR7-00430	159	2	2	3
BgISR7-00431	1878	102	173	107
BgISR7-00432	1356	99	202	141
BgISR7-00433	1503	14	47	28
BgISR7-00434	1053	44	74	47
BgISR7-00435	783	25	69	33
BgISR7-00436	1146	555	1134	730
BgISR7-00437	2088	21	46	14
BgISR7-00438	153	0	0	0
BgISR7-00439	648	190	359	207
BgISR7-00440	2508	7.89744	4.14525	5.48145
BgISR7-00441	2508	3.94872	5.01072	2.74073
BgISR7-00442	711	20	42	14
BgISR7-00443	2508	2.15385	5.15071	3.52379
BgISR7-00444	2496	0	2.31805	1.07725
BgISR7-00445	969	9	34	22
BgISR7-00446	2271	65	128	77
BgISR7-00447	993	1.0521	6.3113	1.05074
BgISR7-00448	642	6	12.4604	15.4652
BgISR7-00449	81	0	0	0
BgISR7-00450	54	0	0	0
BgISR7-00451	2484	0	0	1.17678
BgISR7-00452	501	6	24	5
BgISR7-00453	741	19	28	22
BgISR7-00454	1194	42	83	47
BgISR7-00455	2622	44	118	46
BgISR7-00456	1899	56	160	87
BgISR7-00457	870	11	54	37
BgISR7-00458	1704	4	9	1
BgISR7-00459	351	307	549	361
BgISR7-00460	249	0	7	4
BgISR7-00461	357	1.21422	0	0
BgISR7-00462	351	0	0	0
BgISR7-00463	2013	41	104	49
BgISR7-00464	2496	4.59284	8.97133	7.22251
BgISR7-00465	114	0	0	0
BgISR7-00466	2496	0	1.94509	0
BgISR7-00467	2484	12.5201	10.1998	14.2823
BgISR7-00468	2484	6.24195e-05	8.15988	0.0129533
BgISR7-00469	2496	4.59283	13.0008	4.12062
BgISR7-00470	2484	1.46133	8.59491	1.19065
BgISR7-00471	330	715	1471	874
BgISR7-00472	1470	8.83282	4.12307	3
BgISR7-00473	624	13	26	16
BgISR7-00474	885	3	19	10
BgISR7-00475	228	0	2	0
BgISR7-00476	3216	25	39	17
BgISR7-00477	4764	29	50	35
BgISR7-00478	156	0	1	1
BgISR7-00479	1932	0	1.0271	4.17093
BgISR7-00480	2139	41	82	61
BgISR7-00481	117	0	0	0
BgISR7-00482	909	0	0	0
BgISR7-00483	1035	28	64	35
BgISR7-00484	720	0	0	0
BgISR7-00485	102	0	0	0
BgISR7-00486	558	2	0	0
BgISR7-00487	2130	14	47	18
BgISR7-00488	585	8	14	9
BgISR7-00489	1791	59	138	89
BgISR7-00490	3066	34	62	55
BgISR7-00491	345	0	0	0
BgISR7-00492	138	33	134.994	79
BgISR7-00493	426	3	10	5
BgISR7-00494	1494	0	53.4	43.45
BgISR7-00495	1992	43	71	67
BgISR7-00496	1494	48	35.6	35.55
BgISR7-00497	1593	24	37	27
BgISR7-00498	144	0	0	0
BgISR7-00499	2283	36	111	95
BgISR7-00500	513	34	80	39
BgISR7-00501	1101	2	1.25717	0
BgISR7-00502	1152	8	21	15
BgISR7-00503	591	56	58	45
BgISR7-00504	1089	40	61	44
BgISR7-00505	2136	29	42	34
BgISR7-00506	6567	99	189	93
BgISR7-00507	759	94	192	107
BgISR7-00508	813	29	52	41
BgISR7-00509	2931	1314	2482	1710
BgISR7-00510	321	17	34	22
BgISR7-00511	2880	66	77	67
BgISR7-00512	1557	31	91	79
BgISR7-00513	12	0	0	0
BgISR7-00514	150	0	0	0
BgISR7-00515	345	8	24	13
BgISR7-00516	198	1	4	5
BgISR7-00517	3018	25	54	30
BgISR7-00518	3006	74	126	64
BgISR7-00519	1410	26	79	44
BgISR7-00520	543	0	0	0.620287
BgISR7-00521	240	0	2.36551	0
BgISR7-00522	1725	39	79	50
BgISR7-00523	2346	23	56	29
BgISR7-00524	762	9	28	27
BgISR7-00525	1068	11	32	29
BgISR7-00526	270	11	19	8
BgISR7-00527	765	0	3	1
BgISR7-00528	342	11	38	37
BgISR7-00529	195	0	0	0
BgISR7-00530	162	0	0	0
BgISR7-00531	1269	23.3496	29.4581	25.1667
BgISR7-00532	333	142	246	156
BgISR7-00533	366	3.5	3.13743	2.375
BgISR7-00534	144	0	0	0
BgISR7-00535	348	182	331	249
BgISR7-00536	348	0	3	7
BgISR7-00537	129	0	0	0
BgISR7-00538	348	5	5	5
BgISR7-00539	348	66	79	78
BgISR7-00540	4311	30.4108	0	0
BgISR7-00541	348	25	33	22
BgISR7-00542	93	0	0	0
BgISR7-00543	348	1	4	3
BgISR7-00544	93	0	0	0
BgISR7-00545	117	0	0	0
BgISR7-00546	621	1	0	3
BgISR7-00547	12	0	0	0
BgISR7-00548	324	1	0	0
BgISR7-00549	1116	5	11	3
BgISR7-00550	942	65	159	100
BgISR7-00551	2874	23	60	25
BgISR7-00552	939	22	71	58
BgISR7-00553	57	3	2	1
BgISR7-00554	237	1	1	2
BgISR7-00555	75	1	0	2
BgISR7-00556	210	8	29.6785	12.7088
BgISR7-00557	84	0	0	0
BgISR7-00558	990	6	29	18
BgISR7-00559	714	25	37	19
BgISR7-00560	1170	24	38	36
BgISR7-00561	1524	58.5	97.7273	57.619
BgISR7-00562	738	15	19	15
BgISR7-00563	117	0	0	0
BgISR7-00564	336	2	0	0
BgISR7-00565	291	3	2	1
BgISR7-00566	96	0	0	0
BgISR7-00567	1524	31.5	117.273	63.381
BgISR7-00568	336	3	8	11
BgISR7-00569	750	198	311	231
BgISR7-00570	2070	24	58	42
BgISR7-00571	1314	65	94	55
BgISR7-00572	627	64	89	55
BgISR7-00573	948	50	71	52
BgISR7-00574	459	14	14	12
BgISR7-00575	4626	14	47	36
BgISR7-00576	4668	80	167	125
BgISR7-00577	465	18	18	14
BgISR7-00578	651	15	24	14
BgISR7-00579	771	46	88	75
BgISR7-00580	702	125	187	123
BgISR7-00581	2472	60	113	67
BgISR7-00582	147	0	4	0
BgISR7-00583	42	0	0	0
BgISR7-00584	3180	37	101	69
BgISR7-00585	3492	34	49	41
BgISR7-00586	1122	49	106	74
BgISR7-00587	1257	12.6995	39.4593	17.0947
BgISR7-00588	4302	22.7824	3.94158	13.4382
BgISR7-00589	582	1	1	3.26352
BgISR7-00590	327	1	0	0
BgISR7-00591	1098	8	22	10
BgISR7-00592	99	0	0	0
BgISR7-00593	1074	16	34	37
BgISR7-00594	1074	5	19	22
BgISR7-00595	3126	94	105	88
BgISR7-00596	414	6	20	2
BgISR7-00597	84	0	2	0
BgISR7-00598	255	9	14	7
BgISR7-00599	1026	0	0	0
BgISR7-00600	1983	23	30	32
BgISR7-00601	3606	78	83	66
BgISR7-00602	708	4	7	3
BgISR7-00603	126	0	2	1
BgISR7-00604	648	67	176	122
BgISR7-00605	306	137	213	200
BgISR7-00606	3813	105	154	121
BgISR7-00607	1116	20	42	22
BgISR7-00608	195	1	3	3
BgISR7-00609	1188	36	64	47
BgISR7-00610	1044	13	42	27
BgISR7-00611	546	9	40	26
BgISR7-00612	744	38	70	45
BgISR7-00613	4674	50	113	63
BgISR7-00614	2511	13	40	31
BgISR7-00615	633	47	69	42
BgISR7-00616	1017	37	113	61
BgISR7-00617	1302	26	72	61
BgISR7-00618	726	397	823	545
BgISR7-00619	219	0	1	0
BgISR7-00620	1263	20	32	9
BgISR7-00621	99	0	0	0
BgISR7-00622	5160	116	227	167
BgISR7-00623	300	7	17	17
BgISR7-00624	5364	83	156	143
BgISR7-00625	144	0	0	0
BgISR7-00626	576	0	0	0
BgISR7-00627	357	1	2	4
BgISR7-00628	195	0	0	0
BgISR7-00629	1818	19	38	24
BgISR7-00630	66	0	0	0
BgISR7-00631	12	0	0	0
BgISR7-00632	2472	59	100	86
BgISR7-00633	393	69	148	90
BgISR7-00634	1515	0	0	0
BgISR7-00635	1380	39	55	43
BgISR7-00636	1218	28	64	37
BgISR7-00637	195	0	0	0
BgISR7-00638	702	0	0	0
BgISR7-00639	261	0	1	0
BgISR7-00640	1257	11	41	19
BgISR7-00641	795	48	102	71
BgISR7-00642	1914	48	127	84
BgISR7-00643	636	10	20	4
BgISR7-00644	2406	39	45	25
BgISR7-00645	1176	70	117	80
BgISR7-00646	1632	98	190	117
BgISR7-00647	1902	28	51	34
BgISR7-00648	1857	52	71	62
BgISR7-00649	1413	86	188	110
BgISR7-00650	1425	55	108	67
BgISR7-00651	294	0	0	2
BgISR7-00652	90	0	0	0
BgISR7-00653	510	2	1	0
BgISR7-00654	243	0	0	0
BgISR7-00655	357	6	11	11
BgISR7-00656	438	1	11	11
BgISR7-00657	1224	86	167	92
BgISR7-00658	564	4	12	4
BgISR7-00659	774	53	118	77
BgISR7-00660	795	16	27	22
BgISR7-00661	2157	41	57	38
BgISR7-00662	366	6	3	3
BgISR7-00663	1041	61	68	57
BgISR7-00664	84	0	0	0.0028651
BgISR7-00665	1245	57	88	60
BgISR7-00666	2412	68	119	85
BgISR7-00667	1998	16	48	46
BgISR7-00668	4293	61	102	90
BgISR7-00669	954	40	66	46
BgISR7-00670	375	30	40	15
BgISR7-00671	2394	32	82	37
BgISR7-00672	1206	8	10	6.43354
BgISR7-00673	696	21	27	34
BgISR7-00674	459	83	147	77
BgISR7-00675	2364	85	102	72
BgISR7-00676	711	30	57	27
BgISR7-00677	942	22	23	19
BgISR7-00678	186	0	0	0
BgISR7-00679	1524	133	206	112
BgISR7-00680	267	1	0	2
BgISR7-00681	1227	19	51	37
BgISR7-00682	762	65	122	72
BgISR7-00683	699	203	492	298
BgISR7-00684	1656	275	525	317
BgISR7-00685	1308	56	87	73
BgISR7-00686	768	18	22	16
BgISR7-00687	1800	17	50	36
BgISR7-00688	1686	112	149	142
BgISR7-00689	429	14	20	10
BgISR7-00690	1290	6	29	23
BgISR7-00691	1257	7	19	8
BgISR7-00692	321	0	0	0
BgISR7-00693	1029	19	30	21
BgISR7-00694	2007	4	21	9
BgISR7-00695	1173	45	82	69
BgISR7-00696	1152	8	7	8
BgISR7-00697	942	3	19	3
BgISR7-00698	4269	0	3.25435	2.77603
BgISR7-00699	225	0	0	0
BgISR7-00700	942	136	192	156
BgISR7-00701	225	10	12	7
BgISR7-00702	96	0	0	0
BgISR7-00703	861	115	286	182
BgISR7-00704	1932	38	52	42
BgISR7-00705	1809	540	866	644
BgISR7-00706	2445	40	90	58
BgISR7-00707	288	26	39	24
BgISR7-00708	939	29	46	35
BgISR7-00709	1404	181	329	210
BgISR7-00710	768	28	64	41
BgISR7-00711	159	0	0	0
BgISR7-00712	207	0	0	0
BgISR7-00713	1107	33	42	50
BgISR7-00714	252	1	25	14
BgISR7-00715	1299	69	122	63
BgISR7-00716	4152	57	91	65
BgISR7-00717	1149	49	140	62
BgISR7-00718	3243	37	77	34
BgISR7-00719	2157	62	79	39
BgISR7-00720	174	0	3	1
BgISR7-00721	3231	103	177	130
BgISR7-00722	45	0	0	0
BgISR7-00723	105	0	0	0
BgISR7-00724	2133	64	115	47
BgISR7-00725	2142	63	98	84
BgISR7-00726	603	26	75	37
BgISR7-00727	942	7	16	21
BgISR7-00728	129	0	0	0
BgISR7-00729	528	8	28	21
BgISR7-00730	978	4	14	9
BgISR7-00731	45	4.75	4.75	5.25
BgISR7-00732	978	12	32	14
BgISR7-00733	1719	18	29	21
BgISR7-00734	2196	20	21	18
BgISR7-00735	1728	11	14	10
BgISR7-00736	216	4	6	3
BgISR7-00737	237	6	13	8
BgISR7-00738	72	0	0	0
BgISR7-00739	51	0	0	0
BgISR7-00740	366	0	2	0
BgISR7-00741	801	422	843	553
BgISR7-00742	1956	55	127	84
BgISR7-00743	1305	18	60	20
BgISR7-00744	45	0	0	0
BgISR7-00745	84	0	0	0.0028651
BgISR7-00746	996	13.2	34.2195	29.5556
BgISR7-00747	135	0	1	0
BgISR7-00748	135	0	0	0
BgISR7-00749	996	19.8	26.7805	8.44444
BgISR7-00750	876	42	64	50
BgISR7-00751	705	10	21	17
BgISR7-00752	2058	48	126	75
BgISR7-00753	168	0	0	0
BgISR7-00754	486	0	1	0
BgISR7-00755	996	60	118	115
BgISR7-00756	591	2	2	0
BgISR7-00757	1467	110	181	112
BgISR7-00758	603	0	1	0
BgISR7-00759	1080	0	0	0
BgISR7-00760	1530	0	1	0
BgISR7-00761	1500	58	125	66
BgISR7-00762	789	0	0	0
BgISR7-00763	1839	320	520	361
BgISR7-00764	1047	51	89	72
BgISR7-00765	1455	5	21	10
BgISR7-00766	2208	8.61538	20.4255	8.16667
BgISR7-00767	1509	54	77	40
BgISR7-00768	2442	21	64	37
BgISR7-00769	870	81	138	106
BgISR7-00770	219	18	35	26
